title                                                         	text
Candidiasis (thrush)                                          	Candidiasis, also commonly referred to as thrush, is a fungal infection caused by an overgrowth of the yeast Candida albicans. This yeast naturally lives in small amounts in your mouth, digestive tract, and on your skin [1]. In healthy individuals, the immune system and other bacteria keep the growth of Candida in check.
Symptoms of Candidiasis (thrush)                              	Oral thrush: White patches on tongue/cheeks, burning mouth, swallowing difficulty.•  Genital thrush: Itching, irritation, discharge (females), redness (both).
Causes of Candidiasis (thrush)                                	Weakened immune system,Antibiotics disrupting mouth/vaginal bacteria,Uncontrolled diabetes,Dry mouth,Infants/older adults with immature/weakened immune systems,Hormonal changes (pregnancy, menstruation, menopause),Diet high in sugar/refined carbs,Poorly fitting dentures
Treatment of Candidiasis (thrush)                             	Treatment: Antifungal medications (clotrimazole, nystatin, miconazole, fluconazole)
Cryptococcosis                                                	Cryptococcosis is a fungal infection caused by the Cryptococcus species, primarily Cryptococcus neoformans and Cryptococcus gattii. This infection often occurs in people with weakened immune systems, such as those with HIV/AIDS
Symptoms of  Cryptococcosis                                   	Pulmonary cryptococcosis: Mimics pneumonia with cough, shortness of breath, and chest pain.
Symptoms of Cryptococcosis                                    	Cryptococcal meningitis (most common in immunocompromised individuals): Headache, fever, neck stiffness, nausea, vomiting, confusion, and vision problems.
Symptoms of Cryptococcosis                                    	Disseminated cryptococcosis: Can affect skin, bones, genitourinary tract, or prostate gland, causing various symptoms depending on the involved organ.
Treatment of Cryptococcosis                                   	Antifungal medications like fluconazole, itraconazole, or amphotericin B.Treatment duration varies depending on the severity and location of the infection.
Treatment of Cryptococcosis                                   	In immunocompromised individuals, lifelong antifungal therapy might be needed to prevent relapse.
Histoplasmosis                                                	A lung infection caused by inhaling fungal spores, leading to flu-like symptoms.
Symptoms of Histoplasmosis                                    	Mild cases: Often no symptoms, or flu-like symptoms such as fever, cough, and fatigue.•       Severe cases: Can cause serious lung infections, and in some cases, can spread to other parts of the body (disseminated histoplasmosis), leading to symptoms like chest pain, shortness of breath, weight loss, and night sweats.
Treatment of Histoplasmosis                                   	Mild cases might resolve without treatment,,Severe or chronic cases typically require antifungal medications such as itraconazole or amphotericin B and early detection and treatment are important, especially for individuals with weakened immune systems, such as those with HIV/AIDS.
Pneumocystis pneumonia (PCP)                                  	A type of pneumonia common in people with weakened immune systems, causing difficulty breathing, fever, and cough. It is caused by the fungus Pneumocystis jirovecii (formerly known as Pneumocystis carinii
Symptoms of Pneumocystis pneumonia (PCP)                      	Difficulty breathing (shortness of breath, rapid breathing), Fever, Dry cough (may worsen with activity) and Fatigue
Treatment of Pneumocystis pneumonia (PCP)                     	Trimethoprim-sulfamethoxazole (TMP/SMX) is the mainstay of treatment, alternative medications like atovaquone, pentamidine, or clindamycin with primaquine might be used for individuals intolerant of TMP/SMX.
Treatment of Pneumocystis pneumonia (PCP)                     	Supportive oxygen therapy may be necessary for severe cases.
Coccidioidomycosis                                            	Also known as Valley fever, a fungal infection that can cause flu-like symptoms, skin rashes, and joint pain.
Causes of Coccidioidomycosis                                  	Inhaling spores from the fungus Coccidioides immitis or Coccidioides posadasii found in soil in arid regions of the southwestern United States, northern Mexico, and parts of Central and South America.
Symptoms of Coccidioidomycosis                                	Fever ,Cough, Fatigue, Shortness of breath, Headache, Chills, Night sweats, Joint aches and Muscle soreness
Treatment of Coccidioidomycosis                               	Antifungal medications like fluconazole or itraconazole are typically used for treatment durations depending on the severity of the infection. In severe cases, amphotericin B may be necessary.
Cytomegalovirus (CMV)                                         	A virus that can cause severe eye infections, leading to blindness, and can also affect other organs.
Symptoms of Cytomegalovirus (CMV)                             	Cytomegalovirus retinitis (CMVR): A serious eye infection that can lead to vision loss and blindness. This is a major concern for people with HIV/AIDS, Pneumonia (inflammation of the lungs)
Symptoms of Cytomegalovirus (CMV)                             	Gastrointestinal (GI) problems: Colitis (inflammation of the colon) and esophagitis (inflammation of the esophagus), Hepatitis (inflammation of the liver) and Neurological problems: Encephalitis (inflammation of the brain)
Treatment of  Cytomegalovirus (CMV                            	Antiviral medications like ganciclovir, valganciclovir, or foscarnet are used to treat CMV infections, especially in immunocompromised individuals.Treatment duration depends on the severity of the infection and the affected organ system.
Herpes simplex virus (HSV)                                    	A virus causing painful sores around the mouth or genitals.
Types of Herpes Simplex Virus (HSV                            	HSV-1: This type typically causes oral herpes, also known as cold sores or fever blisters. These usually appear around the mouth or lips. HSV-2: This type is the most common cause of genital herpes, with sores appearing on the genitals, buttocks, or thighs.
Symptoms of Herpes simplex virus (HSV)                        	The initial infection with HSV can cause flu-like symptoms, swollen lymph nodes, and the first outbreak of blisters or sores. Recurrent outbreaks can occur throughout life, triggered by stress, illness, or sun exposure. These outbreaks typically have milder symptoms than the initial infection.
Treatment of Herpes Simplex Virus (HSV                        	There is no cure for HSV, but antiviral medications can shorten the duration and severity of outbreaks. Acyclovir, valacyclovir, and famciclovir are commonly used antiviral medications for HSV.
Varicella-zoster virus (VZV)                                  	The virus that causes chickenpox and shingles, leading to painful skin rashes and blisters.
Symptoms of Varicella-zoster virus (VZV)                      	Fever, fatigue, loss of appetite, followed by an itchy, blistering rash that starts on the face and trunk and spreads to the rest of the body. The blisters eventually scab over and heal.
Human papillomavirus (HPV)                                    	Human papillomavirus (HPV): A virus that can cause warts and is linked to cancers of the cervix, anus, and throat.
Symptoms of Human papillomavirus (HPV)                        	Many HPV strains cause no symptoms and clear up on their own, Some strains cause the development of warts, which can be: Genital warts: Soft, fleshy bumps that appear on the genitals or anus,Common warts: Rough, raised bumps on the hands or fingers and Plantar warts: Hard, wart-like growths on the soles of the feet.
Treatment of Human papillomavirus (HPV)                       	If you experience any concerning symptoms, consult a healthcare professional promptly for proper diagnosis and treatment. Early intervention can significantly improve your health outcomes and prevent complications
